Name,Points,Rebounds,Assists,Steals,Blocks,Fouls,Turnovers,Field Goal Made,Field Goal Attempted,3 Point Made,3 Point Attempted,Game Played
Random #1,19,4,2,2,0,4,2,8,16,2,3,1
Random #2,12,1,1,2,0,0,2,4,13,4,6,1
Random #3,7,1,4,0,0,0,5,3,5,0,0,1
Random #4,3,3,4,3,1,2,2,1,9,1,7,1
Random #5,8,12,3,1,1,2,2,3,6,0,1,1
,,,,,,,,,,,,
Random #4,14,1,3,0,1,3,4,5,7,4,5,2
Random #1,21,5,6,5,0,3,2,10,29,1,8,2
Random #2,11,1,2,2,0,1,4,5,12,1,6,2
Random #3,2,9,0,0,0,1,0,1,6,0,2,2
Random #5,7,10,1,2,3,0,0,3,9,1,1,2
,,,,,,,,,,,,
Random #1,2,3,3,2,0,1,1,1,3,0,1,3
Random #2,0,3,1,0,0,1,1,0,2,0,0,3
Random #3,18,2,5,3,1,1,5,7,24,4,15,3
Random #4,13,6,1,1,2,1,1,5,9,1,2,3
Random #5,11,5,1,2,1,0,1,4,22,3,14,3
,,,,,,,,,,,,
Random #4,10,1,7,2,0,1,3,4,11,2,4,4
Random #1,18,3,5,1,1,0,3,9,16,0,4,4
Random #2,7,2,2,0,0,2,0,2,6,1,2,4
Random #3,17,7,5,4,4,1,0,7,13,3,5,4
Random #5,16,10,3,0,0,1,1,8,12,0,0,4
,,,,,,,,,,,,
Random #1,9,0,17,2,0,0,7,4,10,1,5,5
Random #4,9,1,3,1,0,0,5,4,5,1,1,5
Random #2,14,11,3,0,1,1,1,7,11,0,0,5
Random #3,32,2,4,1,0,1,0,12,22,7,10,5
Random #5,16,22,3,1,1,0,5,8,13,0,0,5
,,,,,,,,,,,,
Random #4,25,0,10,0,0,0,3,8,16,6,10,6
Random #1,28,6,6,6,0,2,2,12,20,3,5,6
Random #2,12,10,10,2,1,0,1,5,5,0,0,6
Random #3,22,2,5,4,0,0,1,8,15,3,5,6
Random #5,12,10,1,0,0,2,2,5,10,2,2,6
,,,,,,,,,,,,
Random #1,26,2,5,3,0,1,2,12,34,2,9,7
Random #2,8,0,1,0,0,0,0,3,10,2,9,7
Random #4,2,4,1,0,0,0,1,1,5,0,3,7
Random #3,7,16,3,2,0,0,2,2,9,2,6,7
Random #5,4,13,2,1,2,3,1,2,5,0,1,7
,,,,,,,,,,,,
Random #1,18,2,11,5,0,2,4,7,13,4,9,8
Random #4,21,0,2,3,0,0,0,8,14,5,9,8
Random #2,23,4,2,3,1,0,2,10,17,3,8,8
Random #3,16,3,6,4,0,2,0,8,13,0,1,8
Random #5,4,14,5,0,6,0,2,1,4,1,2,8
,,,,,,,,,,,,
Random #1,7,2,13,2,0,2,2,3,12,1,2,9
Random #2,19,0,1,3,0,3,1,8,14,1,1,9
Random #4,4,3,4,0,0,1,0,2,3,0,0,9
Random #3,8,9,2,2,1,0,1,4,9,0,2,9
Random #5,34,11,3,0,3,1,0,14,19,2,5,9
,,,,,,,,,,,,
Random #1,16,2,2,0,0,1,2,7,25,2,12,10
Random #2,13,2,4,3,0,0,0,5,11,3,6,10
Random #3,9,4,3,0,0,0,1,4,14,1,7,10
Random #4,2,2,4,3,1,0,1,1,6,0,3,10
Random #5,25,26,2,2,2,3,1,10,17,0,0,10
,,,,,,,,,,,,
Random #1,0,0,1,3,0,3,1,0,7,0,2,11
Random #2,29,1,7,3,0,3,4,11,27,6,14,11
Random #3,0,9,0,3,0,1,2,0,2,0,0,11
Random #4,16,14,6,0,0,0,0,7,12,2,4,11
Random #5,10,6,2,1,3,1,0,4,13,2,8,11
,,,,,,,,,,,,
Random #4,17,5,7,2,1,0,0,7,11,3,5,12
Random #1,23,1,7,1,1,1,1,10,12,3,3,12
Random #2,23,3,6,3,0,1,0,11,14,1,1,12
