Name,Points,Rebounds,Assists,Steals,Blocks,Fouls,Turnovers,Field Goal Made,Field Goal Attempted,3 Point Made,3 Point Attempted,Game Played
Kiran,24,4,10,5,1,1,2,9,12,4,4,1
Taser,23,2,0,0,1,0,3,9,18,5,10,1
Nav,10,1,6,1,1,0,2,4,19,2,8,1
Random,10,18,6,2,0,2,0,5,8,0,0,1
Vish,4,12,4,1,2,1,2,2,2,0,0,1
,,,,,,,,,,,,
Random,9,1,3,4,0,1,0,4,8,1,3,2
Kiran,34,5,4,1,2,0,6,15,20,2,3,2
Taser,8,3,6,1,0,1,1,3,5,2,2,2
Nav,13,5,4,2,3,3,4,5,10,3,5,2
Vish,6,13,6,0,6,0,2,3,4,0,0,2
,,,,,,,,,,,,
Kiran,28,3,12,2,2,0,3,12,16,2,2,3
Taser,7,2,5,1,1,1,0,3,10,1,8,3
Nav,14,9,4,1,4,0,4,6,14,1,3,3
Random,11,7,3,0,0,0,1,4,10,1,4,3
Vish,14,23,7,2,2,1,2,7,10,0,0,3
,,,,,,,,,,,,
Random,7,3,5,1,1,2,1,3,7,1,3,4
Kiran,32,3,5,1,2,1,3,15,19,2,2,4
Taser,13,2,7,1,0,1,2,6,9,1,3,4
Nav,10,4,6,1,1,1,1,4,13,2,4,4
Vish,12,23,6,3,3,1,4,6,16,0,0,4
,,,,,,,,,,,,
Kiran,18,1,12,2,1,1,0,8,10,2,3,5
Random,33,0,2,3,1,1,0,13,17,7,9,5
Taser,5,2,6,2,2,2,1,2,9,1,5,5
Nav,7,4,1,2,5,1,5,3,18,1,6,5
Vish,9,15,6,0,3,2,2,4,12,0,0,5
,,,,,,,,,,,,
Random,13,0,5,3,0,2,1,6,13,1,8,6
Kiran,26,2,9,2,1,1,2,13,17,0,2,6
Taser,3,3,5,0,1,1,2,1,6,1,6,6
Nav,19,1,0,0,0,5,9,9,12,0,1,6
Vish,8,19,10,0,4,3,3,4,9,0,0,6
,,,,,,,,,,,,
Kiran,20,5,6,1,1,1,2,9,16,0,1,7
Taser,3,0,0,1,0,1,3,1,10,1,8,7
Random,2,9,2,2,0,1,1,1,2,0,1,7
Nav,14,1,2,0,1,1,2,6,16,2,8,7
Vish,7,22,7,1,4,1,2,3,8,0,0,7
,,,,,,,,,,,,
Kiran,21,2,5,1,0,4,6,10,18,0,0,8
Random,2,9,0,0,0,0,2,1,4,0,2,8
Taser,11,1,1,1,4,0,1,4,11,3,6,8
Nav,2,3,5,2,0,2,7,1,10,0,0,8
Vish,16,18,9,1,0,2,3,8,14,0,0,8
,,,,,,,,,,,,
Kiran,17,0,6,1,2,2,3,7,9,0,1,9
Taser,11,4,2,0,0,1,4,5,11,1,5,9
Random,5,7,2,0,1,0,2,2,3,1,2,9
Nav,5,1,5,0,2,1,0,2,11,1,7,9
Vish,17,15,4,1,0,1,2,8,19,0,0,9
,,,,,,,,,,,,
Kiran,30,2,10,1,1,1,3,14,15,2,3,10
Taser,15,2,5,0,0,1,1,6,16,3,10,10
Nav,14,2,2,0,2,3,4,6,13,2,4,10
Random,4,11,5,1,1,0,0,1,5,0,0,10
Vish,6,17,5,1,3,2,2,3,8,0,0,10
,,,,,,,,,,,,
Kiran,27,3,8,1,1,3,5,12,19,1,1,11
Taser,13,5,4,1,0,0,2,5,12,2,8,11
Nav,0,0,3,1,1,2,1,0,1,0,0,11
Random,0,6,4,2,0,0,1,0,1,0,0,11
Vish,12,13,3,0,3,0,5,6,10,0,0,11
,,,,,,,,,,,,
Kiran,26,2,12,3,0,2,2,12,15,1,2,12
Random,17,1,6,2,0,5,2,7,10,3,3,12
Taser,8,3,5,3,1,2,0,4,5,0,1,12
Nav,15,3,2,1,0,1,1,6,15,2,5,12
Vish,10,28,5,1,1,0,5,5,12,0,0,12
,,,,,,,,,,,,
Kiran,10,3,17,0,2,0,1,5,7,0,1,13
Random,15,0,0,4,0,2,3,7,9,1,2,13
Taser,8,1,4,2,0,1,2,4,7,0,2,13
Nav,23,2,5,0,0,2,1,9,11,5,7,13
Vish,19,19,5,1,3,3,2,9,21,0,0,13
,,,,,,,,,,,,
Kiran,35,1,8,5,0,1,2,16,22,3,4,14
Random,2,3,3,0,0,0,1,1,5,0,3,14
Taser,14,2,5,2,0,2,0,6,13,2,6,14
Nav,8,6,4,2,0,2,3,2,15,2,9,14
Vish,10,14,9,2,5,2,2,5,7,0,0,14
,,,,,,,,,,,,
Random,5,2,6,4,0,1,1,2,6,1,1,15
Kiran,15,1,3,0,1,1,2,7,12,1,2,15
Taser,15,1,1,0,0,0,2,6,12,3,8,15
Nav,6,1,3,0,3,2,6,2,10,2,8,15
Vish,7,12,3,0,1,1,5,3,9,0,0,15
,,,,,,,,,,,,
Kiran,18,3,5,2,3,1,3,9,17,0,2,16
Taser,5,2,6,2,0,3,1,2,12,1,7,16
Nav,5,1,3,0,1,0,3,2,4,1,1,16
Vish,8,16,4,0,2,2,1,4,8,0,0,16
Random,7,4,0,0,1,0,5,3,3,1,1,16
,,,,,,,,,,,,
Random,16,2,5,3,0,4,3,6,8,4,6,17
Kiran,37,4,6,4,0,1,2,18,24,1,1,17
Taser,4,1,4,0,0,1,3,2,6,0,4,17
Nav,24,1,4,0,0,1,3,2,6,0,4,17
Vish,14,30,13,2,3,0,1,7,12,0,0,17
,,,,,,,,,,,,
Kiran,12,2,8,3,1,2,4,6,12,0,1,18
Taser,11,4,3,0,1,4,5,5,13,1,5,18
Nav,10,1,0,1,0,0,1,4,17,1,12,18
Random,5,13,5,2,1,0,1,2,3,1,1,18
Vish,8,11,0,0,2,1,8,4,10,0,0,18
,,,,,,,,,,,,
Kiran,21,4,3,3,0,0,1,10,16,1,2,19
Random,4,1,3,5,0,2,1,2,10,0,3,19
Taser,7,5,11,1,1,2,0,3,13,1,8,19
Nav,18,8,4,0,2,1,3,6,14,5,12,19
Vish,12,9,3,1,2,3,2,6,13,0,0,19
,,,,,,,,,,,,
Kiran,18,7,3,2,2,0,1,7,15,3,4,20
Random,2,2,1,0,0,2,0,1,4,0,0,20
Taser,4,3,8,2,1,0,4,2,10,0,6,20
Nav,5,4,2,1,3,2,4,2,10,1,8,20
Vish,14,9,3,5,0,3,1,7,16,0,0,20
,,,,,,,,,,,,
Kiran,30,3,7,3,1,1,1,13,19,2,4,21
Taser,21,1,7,3,1,2,2,9,12,3,3,21
Nav,13,1,4,1,0,0,7,5,12,2,6,21
Vish,10,12,8,3,1,0,1,5,8,0,0,21
Random,11,13,5,1,2,0,0,4,5,3,4,21
,,,,,,,,,,,,
Kiran,11,1,8,4,0,0,4,5,9,1,1,22
Random,7,3,4,4,0,3,0,3,9,0,1,22
Taser,10,0,2,3,0,2,1,5,12,0,4,22
Nav,8,0,4,1,0,2,0,3,12,2,9,22
Vish,19,14,4,3,2,3,1,9,19,0,0,22
,,,,,,,,,,,,
Kiran,22,4,9,4,2,2,2,9,12,0,0,23
Taser,12,5,3,1,0,1,1,5,11,0,4,23
Random,4,3,2,2,0,3,0,2,7,0,1,23
Nav,21,2,5,0,2,1,3,10,17,1,5,23
Vish,12,24,5,0,5,1,3,6,11,0,0,23
,,,,,,,,,,,,
Kiran,18,2,10,2,1,1,3,8,9,2,2,24
Random,10,2,3,0,0,1,1,5,10,0,1,24
Taser,12,3,8,1,0,0,2,5,16,2,9,24
Nav,25,0,2,1,0,1,1,10,15,4,5,24
Vish,16,22,7,4,1,4,0,8,10,0,0,24
,,,,,,,,,,,,
Kiran,18,1,10,1,0,1,2,8,14,2,3,25
Taser,33,2,5,1,0,1,0,11,24,9,17,25
Nav,7,1,5,0,2,2,0,3,5,1,3,25
Vish,14,21,6,0,2,1,4,7,18,0,0,25
Random,8,13,1,0,3,3,0,4,8,0,1,25
,,,,,,,,,,,,
Kiran,17,3,5,2,1,0,3,8,13,1,1,26
Taser,14,1,5,2,1,2,0,6,13,2,7,26
Nav,11,3,4,0,2,0,4,5,13,1,6,26
Vish,12,17,7,1,1,1,2,6,14,0,0,26
Random,13,10,5,0,4,0,2,3,3,3,3,26
,,,,,,,,,,,,
Kiran,18,4,8,2,1,1,4,8,14,2,5,27
Taser,15,1,3,0,0,2,3,5,12,3,7,27
Random,0,6,4,2,0,2,3,0,3,0,3,27
Nav,14,4,4,4,1,4,4,6,14,2,9,27
Vish,13,17,2,2,1,1,5,6,12,0,0,27
,,,,,,,,,,,,
Random,5,2,1,2,1,0,0,2,3,1,1,28
Kiran,27,2,6,1,0,1,3,12,15,1,2,28
Taser,3,2,5,2,0,0,0,1,11,1,7,28
Nav,19,0,6,2,2,5,4,8,16,3,10,28
Vish,14,11,8,1,1,2,1,7,10,0,0,28
,,,,,,,,,,,,
Kiran,34,2,5,2,0,0,3,15,18,3,3,29
Random,2,0,2,1,0,6,1,1,5,0,4,29
Taser,10,4,4,2,1,1,2,4,13,2,7,29
Nav,9,2,6,2,1,4,2,4,11,1,4,29
Vish,14,19,8,0,1,2,4,7,9,0,0,29
,,,,,,,,,,,,
Kiran,22,0,3,1,1,3,3,9,19,1,4,30
Taser,5,0,1,0,0,1,2,2,3,1,2,30
Nav,8,1,3,2,1,1,4,3,7,0,3,30
Random,0,8,4,0,1,2,0,0,6,0,2,30
Vish,16,18,7,1,2,1,3,8,15,0,0,30
,,,,,,,,,,,,
Kiran,25,1,9,2,2,2,1,10,13,5,6,31
Random,10,2,2,1,0,0,0,5,9,0,1,31
Taser,9,0,3,0,0,1,1,4,9,1,6,31
Nav,8,3,2,0,3,0,2,3,14,2,11,31
Vish,12,17,8,0,2,2,3,6,7,0,0,31
,,,,,,,,,,,,
Kiran,27,3,8,1,1,1,4,12,17,3,5,32
Random,4,6,5,0,1,1,0,2,3,0,0,32
Taser,19,1,5,2,0,5,2,8,14,3,8,32
Nav,13,1,4,3,1,3,3,6,11,1,5,32
Vish,10,17,8,1,1,1,2,5,8,0,0,32
,,,,,,,,,,,,
Kiran,14,1,2,1,0,1,1,7,11,0,1,33
Random,8,1,1,0,0,2,0,4,9,0,1,33
Taser,3,2,10,2,0,0,0,1,5,1,4,33
Nav,18,6,4,1,3,2,3,7,20,2,10,33
Vish,34,37,8,1,2,3,3,17,25,0,0,33
,,,,,,,,,,,,
Kiran,16,4,9,3,0,0,1,8,12,0,1,34
Taser,8,1,7,1,0,3,1,4,10,0,4,34
Nav,16,3,5,0,0,0,0,7,12,0,3,34
Random,13,15,4,2,0,1,0,5,9,3,5,34
Vish,25,17,6,0,3,2,1,12,18,0,0,34
,,,,,,,,,,,,
Kiran,20,3,8,2,1,0,4,9,16,2,2,35
Taser,21,0,3,1,0,2,3,9,13,3,5,35
Random,6,1,4,1,0,0,3,2,5,2,5,35
Nav,14,7,3,2,1,1,3,5,12,4,10,35
Vish,6,16,9,1,1,3,3,3,7,0,0,35
,,,,,,,,,,,,
Kiran,31,1,5,2,0,2,3,13,19,2,5,36
Taser,9,1,4,2,0,2,0,4,9,1,5,36
Nav,8,4,7,2,0,2,4,2,6,1,3,36
Random,4,3,0,0,0,0,1,2,8,0,3,36
Vish,9,19,7,2,5,2,2,4,10,0,0,36
,,,,,,,,,,,,
Kiran,40,5,6,6,0,1,5,19,33,2,8,37
Random,15,2,1,4,0,4,4,6,10,3,6,37
Taser,9,0,7,2,1,1,1,4,10,1,6,37
Nav,4,3,5,0,0,2,2,2,7,0,1,37
Vish,12,26,11,0,7,2,2,6,14,0,0,37
,,,,,,,,,,,,
Kiran,23,0,6,0,0,0,3,11,11,1,1,38
Taser,4,2,7,0,1,2,0,2,5,0,1,38
Nav,32,3,9,0,3,3,1,11,25,10,22,38
Vish,18,28,8,2,6,1,0,9,20,0,0,38
Random,2,9,2,1,0,1,1,1,1,0,0,38
,,,,,,,,,,,,
Kiran,25,1,10,4,0,1,1,12,14,1,2,39
Taser,4,0,6,0,0,1,2,2,2,0,0,39
Nav,42,0,3,5,0,3,0,16,29,9,16,39
Vish,18,20,10,0,2,1,2,9,15,0,0,39
Random,2,3,6,0,0,0,1,1,2,0,0,39
,,,,,,,,,,,,
Kiran,25,3,9,2,2,1,4,11,16,2,3,40
Taser,8,2,3,1,0,0,1,3,12,2,6,40
Nav,18,5,1,1,0,3,2,7,15,2,8,40
Vish,14,17,11,3,2,0,3,7,11,0,0,40
Manraj,2,1,3,0,1,1,2,1,1,0,0,40
,,,,,,,,,,,,
Kiran,42,0,10,4,0,1,2,20,24,2,2,41
Taser,14,2,4,4,1,0,0,6,13,1,5,41
Random,4,2,4,1,0,0,2,2,2,0,0,41
Nav,19,2,4,0,4,2,2,8,12,3,7,41
Vish,12,14,12,3,5,1,0,6,8,0,0,41
,,,,,,,,,,,,
Kiran,23,2,6,1,0,2,3,11,15,1,3,42
Taser,21,2,5,3,0,2,0,8,14,4,7,42
Random,0,4,4,1,1,0,2,0,0,0,0,42
Nav,14,0,1,0,0,1,2,6,14,2,6,42
Vish,15,20,10,1,3,1,0,7,14,0,0,42
,,,,,,,,,,,,
Kiran,22,1,5,4,0,0,4,9,17,4,5,43
Taser,6,0,4,0,1,1,4,2,9,2,9,43
Nav,18,0,1,1,0,1,0,7,14,4,9,43
Random,0,8,3,0,0,1,3,0,3,0,1,43
Vish,6,18,3,0,1,2,3,3,14,0,0,43
,,,,,,,,,,,,
Kiran,18,1,6,1,1,0,4,9,13,0,1,44
Taser,7,1,5,1,0,3,1,3,6,1,3,44
Random,9,7,0,2,1,1,1,4,11,1,3,44
Nav,11,4,4,0,0,1,5,4,15,3,7,44
Vish,18,16,11,4,2,0,3,9,12,0,0,44
,,,,,,,,,,,,
Kiran,38,1,7,3,0,1,8,17,26,3,7,45
Taser,7,1,4,1,0,0,2,2,8,2,6,45
Nav,11,1,2,1,3,1,1,4,10,3,8,45
Random,0,6,5,2,0,2,3,0,1,0,1,45
Vish,13,17,7,4,1,0,3,6,9,0,0,45
,,,,,,,,,,,,
Kiran,26,3,3,2,0,0,0,13,21,0,6,46
Random,6,11,5,0,0,1,0,3,7,0,0,46
Taser,9,1,3,3,0,2,0,4,11,1,5,46
Nav,18,4,4,0,6,3,2,7,16,2,6,46
Vish,8,18,11,1,2,0,2,4,7,0,0,46
,,,,,,,,,,,,
Kiran,15,1,6,2,0,1,3,7,13,1,5,47
Random,5,4,1,1,0,1,0,1,4,1,2,47
Taser,8,2,5,1,0,2,3,3,8,2,5,47
Nav,21,2,5,1,2,3,4,8,19,5,11,47
Vish,8,13,4,3,2,2,7,4,15,0,0,47
,,,,,,,,,,,,
Random,8,0,5,2,0,1,1,4,9,0,0,48
Kiran,25,1,7,1,1,2,0,12,20,1,2,48
Taser,19,4,3,0,1,4,1,7,14,5,9,48
Nav,18,2,6,0,2,2,6,6,7,4,4,48
Vish,8,14,10,2,2,1,0,4,8,0,0,48
,,,,,,,,,,,,
Kiran,30,2,12,4,0,1,0,15,22,0,1,49
Taser,16,1,2,1,1,1,0,6,13,4,8,49
Random,6,0,2,2,0,1,2,3,6,0,1,49
Nav,10,3,6,1,4,3,3,4,9,2,6,49
Vish,16,21,10,1,0,2,0,8,13,0,0,49
,,,,,,,,,,,,
Kiran,17,1,4,3,0,0,0,8,11,1,1,50
Taser,3,2,3,1,0,1,1,1,1,1,1,50
Random,5,1,3,3,1,0,0,2,4,1,3,50
Nav,38,2,6,2,1,4,1,14,34,9,21,50
Vish,6,30,9,0,0,1,6,3,4,0,0,50
,,,,,,,,,,,,
Kiran,25,0,7,5,0,3,2,12,18,0,1,51
Random,5,3,2,1,1,2,1,2,6,1,4,51
Taser,3,0,5,1,0,0,2,1,6,1,4,51
Nav,7,4,3,0,1,1,5,3,15,0,7,51
Vish,10,23,4,3,0,3,4,5,14,0,0,51
,,,,,,,,,,,,
Kiran,15,3,13,2,1,1,3,7,17,1,4,52
Taser,20,0,2,4,0,0,0,8,15,4,9,52
Random,10,0,2,4,0,1,1,5,9,0,2,52
Nav,18,1,2,1,0,1,1,7,14,3,8,52
Vish,6,20,6,1,1,3,4,3,6,0,0,52
,,,,,,,,,,,,
Kiran,29,1,12,6,0,2,3,14,22,0,2,53
Taser,18,1,5,1,1,2,0,6,13,6,12,53
Nav,19,1,5,1,0,3,3,7,17,5,11,53
Vish,10,21,6,1,2,1,1,5,10,0,0,53
Random,3,11,3,0,3,2,1,1,4,1,1,53
,,,,,,,,,,,,
Kiran,30,2,7,1,0,1,0,15,21,0,2,54
Taser,8,3,9,1,0,0,4,3,9,2,8,54
Random,1,0,1,1,0,1,1,0,3,0,1,54
Nav,12,1,1,1,0,0,4,4,11,4,9,54
